CircleName,RegionName,DivisionName,PinCodeName,Pincode,OfficeType,Delivery,District,StateName,Statecode,Latitude,Longitude
Telangana Circle,Hyderabad Region,Nizamabad Division,Hangarga B.O,503309,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.427403,77.5728932
Telangana Circle,Hyderabad Region,Nizamabad Division,Mailaram B.O,503301,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.445695,77.855289
Telangana Circle,Hyderabad Region,Nizamabad Division,Konepalli B.O,503245,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.7628816,77.9818416
Telangana Circle,Hyderabad Region,Nizamabad Division,Maddepalli B.O,503245,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.8328733,77.9988949
Telangana Circle,Hyderabad Region,Nizamabad Division,Bhavanipet B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.2840423,78.0581409
Telangana Circle,Hyderabad Region,Nizamabad Division,Bikkanur B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.1673313,78.0433781
Telangana Circle,Hyderabad Region,Nizamabad Division,Jangamaipalli B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.1424726,78.0121491
Telangana Circle,Hyderabad Region,Nizamabad Division,Masanipet B.O,503122,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.1992492,78.0342518
Telangana Circle,Hyderabad Region,Nizamabad Division,Demi B.O,503120,BO,Delivery,KAMAREDDY,TELANGANA,TS,18.3245277,78.2124444
Telangana Circle,Hyderabad Region,Nizamabad Division,Kandakurthi B.O,503235,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.819248,77.900276
Telangana Circle,Hyderabad Region,Nizamabad Division,ARP Camp B.O,503235,BO,Delivery,NIZAMABAD,TELANGANA,TS,18.691649,77.968597
Telangana Circle,Hyderabad Region,Khammam Division,Motamarri B.O,507204,BO,Delivery,KHAMMAM,TELANGANA,TS,16.9638551,80.3254796
Telangana Circle,Hyderabad Region,Khammam Division,Mustikuntla B.O,507204,BO,Delivery,KHAMMAM,TELANGANA,TS,17.33169,80.12005
Telangana Circle,Hyderabad Region,Khammam Division,Buddavaram B.O,507169,BO,Delivery,KHAMMAM,TELANGANA,TS,17.02024,80.07173
Telangana Circle,Hyderabad Region,Khammam Division,Kongara B.O,507169,BO,Delivery,KHAMMAM,TELANGANA,TS,17.02024,80.07173
Telangana Circle,Hyderabad Region,Khammam Division,Jagannadhapuram B.O,507208,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1246942,80.2084123
Telangana Circle,Hyderabad Region,Khammam Division,Komatlagudem B.O,507208,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1246912,80.2084153
Telangana Circle,Hyderabad Region,Khammam Division,Proddutur B.O,507208,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1246882,80.2084183
Telangana Circle,Hyderabad Region,Khammam Division,Gopalapuram B.O,507002,BO,Delivery,KHAMMAM,TELANGANA,TS,17.48585,80.14456
Telangana Circle,Hyderabad Region,Khammam Division,Buradaraghavapur B.O,507168,BO,Delivery,KHAMMAM,TELANGANA,TS,17.3309909,80.4402834
Telangana Circle,Hyderabad Region,Khammam Division,Gudimalla B.O,507003,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1937525,80.1421515
Telangana Circle,Hyderabad Region,Khammam Division,Kachirajugudem B.O,507003,BO,Delivery,KHAMMAM,TELANGANA,TS,17.2472668,80.1514307
Telangana Circle,Hyderabad Region,Khammam Division,Theerthala B.O,507003,BO,Delivery,KHAMMAM,TELANGANA,TS,17.29385,80.1433
Telangana Circle,Hyderabad Region,Khammam Division,Venkatayapalem B.O,507003,BO,Delivery,KHAMMAM,TELANGANA,TS,17.2411882,80.2247176
Telangana Circle,Hyderabad Region,Khammam Division,Chirumarri B.O,507158,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1498471,80.066055
Telangana Circle,Hyderabad Region,Khammam Division,Guvvalagudem` B.O,507158,BO,Delivery,KHAMMAM,TELANGANA,TS,17.142659,80.0631751
Telangana Circle,Hyderabad Region,Khammam Division,Mudigonda B.O,507158,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1648,80.02705
Telangana Circle,Hyderabad Region,Khammam Division,Vallapuram B.O,507158,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1498471,80.066055
Telangana Circle,Hyderabad Region,Khammam Division,Battulapalli B.O,507209,BO,Delivery,KHAMMAM,TELANGANA,TS,17.200012,80.549988
Telangana Circle,Hyderabad Region,Khammam Division,Chennoor B.O,507209,BO,Delivery,KHAMMAM,TELANGANA,TS,17.200007,80.549993
Telangana Circle,Hyderabad Region,Khammam Division,Pedakorukondi B.O,507209,BO,Delivery,KHAMMAM,TELANGANA,TS,17.21331,80.59505
Telangana Circle,Hyderabad Region,Khammam Division,Talluri Venkatapuram B.O,507209,BO,Delivery,KHAMMAM,TELANGANA,TS,17.33339,81.1597
Telangana Circle,Hyderabad Region,Khammam Division,Telgaram B.O,507209,BO,Delivery,KHAMMAM,TELANGANA,TS,17.21331,80.59505
Telangana Circle,Hyderabad Region,Khammam Division,Kamepalli B.O,507122,BO,Delivery,KHAMMAM,TELANGANA,TS,17.4827,80.30275
Telangana Circle,Hyderabad Region,Khammam Division,Madhavaram B.O,507122,BO,Delivery,KHAMMAM,TELANGANA,TS,17.6006063,81.0892527
Telangana Circle,Hyderabad Region,Khammam Division,Perupalli B.O,507122,BO,Delivery,KHAMMAM,TELANGANA,TS,17.4827,80.30275
Telangana Circle,Hyderabad Region,Khammam Division,Chinnabeeravalli,507204,BO,Delivery,KHAMMAM,TELANGANA,TS,17.044022,80.328968
Telangana Circle,Hyderabad Region,Khammam Division,Rayanapeta,507204,BO,Delivery,KHAMMAM,TELANGANA,TS,16.99244,80.329569
Telangana Circle,Hyderabad Region,Khammam Division,Mangapuram B.O,507169,BO,Delivery,KHAMMAM,TELANGANA,TS,17.251025,80.3508901
Telangana Circle,Hyderabad Region,Khammam Division,Rayagudem B.O,507169,BO,Delivery,KHAMMAM,TELANGANA,TS,17.02024,80.07173
Telangana Circle,Hyderabad Region,Khammam Division,Ananthasagar B.O,507208,BO,Delivery,KHAMMAM,TELANGANA,TS,17.1246912,80.2084153
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Tilrath BO,851112,BO,Delivery,BEGUSARAI,BIHAR,BR,25.442095,86.066092
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Dahiya BO,851120,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Suryapura BO,851120,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Kavia BO,851120,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Aijani BO,848204,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Baraipura BO,848204,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Dunhi BO,848204,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Sihmachakka BO,848204,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Bishanpur Ahok BO,851204,BO,Delivery,BEGUSARAI,BIHAR,BR,25.511152,86.476908
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Ballia Bazar BO,851211,BO,Delivery,BEGUSARAI,BIHAR,BR,25.4821051,86.2975149
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Bank BO,851211,BO,Delivery,BEGUSARAI,BIHAR,BR,25.4149009,86.1348923
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Bari Ballia BO,851211,BO,Delivery,BEGUSARAI,BIHAR,BR,25.4196805,86.2748959
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Bhagatpur BO,851211,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Lakhminia Bazar BO,851211,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Munger Division,Khabra BO,813212,BO,Delivery,MUNGER,BIHAR,BR,24.555,85.258
Bihar Circle,"East Region, Bhagalpur",Saharsa Division,KAMALPUR,847451,BO,Delivery,SUPAUL,BIHAR,BR,26.2899113,86.8220341
Bihar Circle,"East Region, Bhagalpur",Saharsa Division,KUNAULI,847451,BO,Delivery,SUPAUL,BIHAR,BR,26.2899113,86.8220341
Bihar Circle,"East Region, Bhagalpur",Saharsa Division,Dagmara,847451,BO,Delivery,SUPAUL,BIHAR,BR,25.2899113,86.8220341
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Birpur BO,851127,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Fazilpur BO,851127,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Koria Haibatpur BO,851127,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Agapur BO,851128,BO,Delivery,BEGUSARAI,BIHAR,BR,25.416675,86.129379
Telangana Circle,Hyderabad City Region,Medak Division,Venkatapur BO,502114,BO,Delivery,SIDDIPET,TELANGANA,TS,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Bhimavaram Division,Andaluru B.O,534238,BO,Delivery,WEST GODAVARI,ANDHRA PRADESH,AD,16.605931,81.621318
Andhra Pradesh Circle,Vijayawada Region,Bhimavaram Division,Nelapogula B.O,534240,BO,Delivery,WEST GODAVARI,ANDHRA PRADESH,AD,16.611914,81.661038
Andhra Pradesh Circle,Vijayawada Region,Bhimavaram Division,Jakkaram B.O,534206,BO,Delivery,WEST GODAVARI,ANDHRA PRADESH,AD,16.540798,81.456737
Andhra Pradesh Circle,Vijayawada Region,Bhimavaram Division,Kumudavalli B.O,534210,BO,Delivery,WEST GODAVARI,ANDHRA PRADESH,AD,16.571747,81.534958
Madhya Pradesh Circle,Jabalpur Region,Chhatarpur Division,Kudar B.O,472445,BO,Delivery,Niwari,MADHYA PRADESH,MP,24.7931,80.1856
Madhya Pradesh Circle,Jabalpur Region,Chhatarpur Division,Bhitari B.O,472445,BO,Delivery,Niwari,MADHYA PRADESH,MP,25.8795,78.7026
Madhya Pradesh Circle,Jabalpur Region,Chhatarpur Division,Shaktibheron B.O,472445,BO,Delivery,Niwari,MADHYA PRADESH,MP,25.3956,79.2631
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Jhiktia BO,851213,BO,Delivery,KHAGARIA,BIHAR,BR,25.511152,86.476908
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Babu Bagicha BO,851214,BO,Delivery,KHAGARIA,BIHAR,BR,25.511152,86.476908
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Balha  BO,851214,BO,Delivery,KHAGARIA,BIHAR,BR,25.511152,86.476908
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Fango BO,851214,BO,Delivery,KHAGARIA,BIHAR,BR,25.511152,86.476908
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Thatha BO,851214,BO,Delivery,KHAGARIA,BIHAR,BR,25.511152,86.476908
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Kaithi BO,851201,BO,Delivery,KHAGARIA,BIHAR,BR,25.511152,86.476908
Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Keshavnagar BO,851201,BO,Delivery,KHAGARIA,BIHAR,BR,25.511152,86.476908
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Venkatampalli B.O,515101,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.27,77.67
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Gangampalli B.O,515231,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.04,77.81
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Guddadahalli B.O,515271,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.975403,77.104403
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Hottethimmanahalli B.O,515271,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.975404,77.104404
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Konkallu B.O,515271,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.975405,77.104405
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Tallikera B.O,515271,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.97541,77.10441
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Thirumaladevarapalli B.O,515271,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.975411,77.104411
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Duddebanda B.O,515164,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.0798861,77.6022051
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Kurubavandlapalli B.O,515164,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.0798863,77.6022053
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Munimadugu B.O,515164,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,14.0798864,77.6022054
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Sasanakota B.O,515212,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.828926,77.493284
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Cherlokodigepalli B.O,515303,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.9402898,77.2717067
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Manur B.O,515303,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.9402896,77.2717066
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Kassamudram B.O,515556,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.91,78.08
Andhra Pradesh Circle,Kurnool Region,Hindupur Division,Pulikintapalli B.O,515556,BO,Delivery,ANANTAPUR,ANDHRA PRADESH,AD,13.89,78.1
